,Summary,Precip.Type,Temperature..C.,Apparent.Temperature..C.,Humidity,Wind.Speed..km.h.,Wind.Bearing..degrees.,Visibility..km.,Pressure..millibars.
1,Partly Cloudy,rain,9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13
2,Partly Cloudy,rain,9.355555556,7.227777778,0.86,14.2646,259,15.8263,1015.63
3,Mostly Cloudy,rain,9.377777778,9.377777778,0.89,3.9284,204,14.9569,1015.94
4,Partly Cloudy,rain,8.288888889,5.944444444,0.83,14.1036,269,15.8263,1016.41
5,Mostly Cloudy,rain,8.755555556,6.977777778,0.83,11.0446,259,15.8263,1016.51
6,Partly Cloudy,rain,9.222222222,7.111111111,0.85,13.9587,258,14.9569,1016.66
7,Partly Cloudy,rain,7.733333333,5.522222222,0.95,12.3648,259,9.982,1016.72
8,Partly Cloudy,rain,8.772222222,6.527777778,0.89,14.1519,260,9.982,1016.84
9,Partly Cloudy,rain,10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37
10,Partly Cloudy,rain,13.77222222,13.77222222,0.72,12.5258,279,9.982,1017.22
11,Partly Cloudy,rain,16.01666667,16.01666667,0.67,17.5651,290,11.2056,1017.42
12,Partly Cloudy,rain,17.14444444,17.14444444,0.54,19.7869,316,11.4471,1017.74
13,Partly Cloudy,rain,17.8,17.8,0.55,21.9443,281,11.27,1017.59
14,Partly Cloudy,rain,17.33333333,17.33333333,0.51,20.6885,289,11.27,1017.48
15,Partly Cloudy,rain,18.87777778,18.87777778,0.47,15.3755,262,11.4471,1017.17
16,Partly Cloudy,rain,18.91111111,18.91111111,0.46,10.4006,288,11.27,1016.47
17,Partly Cloudy,rain,15.38888889,15.38888889,0.6,14.4095,251,11.27,1016.15
18,Mostly Cloudy,rain,15.55,15.55,0.63,11.1573,230,11.4471,1016.17
19,Mostly Cloudy,rain,14.25555556,14.25555556,0.69,8.5169,163,11.2056,1015.82
20,Mostly Cloudy,rain,13.14444444,13.14444444,0.7,7.6314,139,11.2056,1015.83
21,Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,147,11.0285,1015.85
22,Mostly Cloudy,rain,11.18333333,11.18333333,0.76,4.9266,160,9.982,1015.77
23,Partly Cloudy,rain,10.11666667,10.11666667,0.79,6.6493,163,15.8263,1015.4
24,Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,152,14.9569,1015.51
25,Partly Cloudy,rain,10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4
26,Partly Cloudy,rain,9.911111111,7.566666667,0.66,17.2109,149,15.8263,1014.2
27,Mostly Cloudy,rain,11.18333333,11.18333333,0.8,10.8192,163,14.9569,1008.71
28,Partly Cloudy,rain,7.155555556,5.044444444,0.79,11.0768,180,15.8263,1014.47
29,Partly Cloudy,rain,6.111111111,4.816666667,0.82,6.6493,161,15.8263,1014.45
30,Partly Cloudy,rain,6.788888889,4.272222222,0.83,13.0088,135,14.9569,1014.49
31,Mostly Cloudy,rain,7.261111111,5.155555556,0.85,11.1734,141,6.1985,1014.52
32,Mostly Cloudy,rain,7.8,5.527777778,0.83,12.8156,150,8.05,1014.16
33,Mostly Cloudy,rain,9.872222222,7.933333333,0.78,13.7494,160,9.982,1014.24
34,Mostly Cloudy,rain,12.22222222,12.22222222,0.72,15.6331,150,9.982,1014.25
35,Mostly Cloudy,rain,15.09444444,15.09444444,0.61,17.549,151,9.982,1013.96
36,Mostly Cloudy,rain,17.35555556,17.35555556,0.52,22.7815,169,9.982,1013.85
37,Mostly Cloudy,rain,19.00555556,19.00555556,0.46,23.8924,169,9.982,1013.04
38,Mostly Cloudy,rain,20.04444444,20.04444444,0.4,28.3682,170,9.982,1012.22
39,Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187,10.3523,1011.44
40,Mostly Cloudy,rain,21.18333333,21.18333333,0.37,25.6956,179,9.982,1010.52
41,Mostly Cloudy,rain,20.11666667,20.11666667,0.4,25.3092,162,9.982,1009.83
42,Mostly Cloudy,rain,20.21666667,20.21666667,0.36,18.1125,161,10.3523,1009.26
43,Mostly Cloudy,rain,20,20,0.43,23.4255,160,9.982,1008.76
44,Mostly Cloudy,rain,17.8,17.8,0.5,20.0445,150,11.2056,1008.36
45,Mostly Cloudy,rain,16.06111111,16.06111111,0.53,21.3969,149,9.982,1008.11
46,Mostly Cloudy,rain,15.02222222,15.02222222,0.55,21.3808,159,9.982,1008.15
47,Overcast,rain,14.42222222,14.42222222,0.58,20.0123,159,15.8263,1007.85
48,Overcast,rain,14.25555556,14.25555556,0.59,16.5025,168,14.9569,1007.89
49,Overcast,rain,13.77222222,13.77222222,0.6,17.0982,160,15.8263,1007.36
50,Overcast,rain,13.28333333,13.28333333,0.63,14.3612,160,15.8263,1007.26
51,Overcast,rain,8.633333333,5.466666667,0.87,22.0409,32,6.6976,1005.1
52,Overcast,rain,11.25,11.25,0.83,11.3344,152,15.8263,1007.01
53,Overcast,rain,11.18333333,11.18333333,0.89,11.2056,180,9.9015,1006.73
54,Overcast,rain,10.69444444,10.69444444,0.95,10.4006,161,6.6976,1006.59
55,Mostly Cloudy,rain,11.11111111,11.11111111,0.93,12.0106,140,5.9731,1006.34
56,Mostly Cloudy,rain,11.11111111,11.11111111,0.93,9.2092,103,10.8031,1006.09
57,Partly Cloudy,rain,12.16666667,12.16666667,0.82,9.9015,113,10.6743,1005.97
58,Partly Cloudy,rain,12.75555556,12.75555556,0.79,13.8299,129,10.8192,1005.63
59,Partly Cloudy,rain,13.83888889,13.83888889,0.84,9.0965,159,10.8192,1005.83
60,Partly Cloudy,rain,16.18333333,16.18333333,0.73,0.644,207,10.7548,1005.97
61,Mostly Cloudy,rain,17.51666667,17.51666667,0.67,0.6762,153,10.8997,1005.64
62,Mostly Cloudy,rain,17.38333333,17.38333333,0.67,3.864,4,10.8514,1005.2
63,Mostly Cloudy,rain,17.36111111,17.36111111,0.71,7.8246,341,11.0768,1005.1
64,Mostly Cloudy,rain,17.20555556,17.20555556,0.74,15.5848,15,10.8514,1004.65
65,Mostly Cloudy,rain,15.63333333,15.63333333,0.81,23.6992,348,10.8836,1004.04
66,Overcast,rain,13.57777778,13.57777778,0.9,20.9622,321,7.6153,1004.08
67,Foggy,rain,10.91111111,10.91111111,0.86,22.3951,311,2.6565,1004.61
68,Foggy,rain,8.8,5.294444444,0.99,26.5006,339,2.6565,1004.99
69,Overcast,rain,8.961111111,5.777777778,0.93,23.2162,340,3.8157,1004.85
70,Overcast,rain,8.2,4.605555556,0.96,25.4219,330,4.4919,1004.96
71,Overcast,rain,7.688888889,3.722222222,0.96,28.1267,339,4.4436,1005.14
72,Overcast,rain,7.766666667,4.65,0.96,19.2878,339,5.6833,1005.05
73,Foggy,rain,8.2,5.072222222,0.96,20.447,341,3.1073,1004.8
74,Foggy,rain,8.177777778,4.372222222,0.93,27.8691,19,3.2039,1004.89
75,Mostly Cloudy,rain,7.311111111,6.183333333,0.82,6.7459,277,14.0553,1007
76,Overcast,rain,7.644444444,5.038888889,0.93,14.9086,9,6.118,1004.3
77,Overcast,rain,6.622222222,2.616666667,0.93,25.0355,0,6.118,1003.68
78,Overcast,rain,6.683333333,3.222222222,0.93,19.8352,350,6.1663,1003.86
79,Overcast,rain,6.088888889,1.65,0.93,28.0945,349,7.9695,1003.57
80,Overcast,rain,6.066666667,1.633333333,0.93,27.9818,348,6.3434,1003.96
81,Breezy and Mostly Cloudy,rain,6.144444444,1.494444444,0.93,30.8637,349,10.5455,1004.1
82,Breezy and Mostly Cloudy,rain,7.133333333,2.688888889,0.8,32.1678,349,11.2056,1004.26
